STF1_SCID,STF1_FIFO,CCSDS_PKT_VER,CCSDS_PKT_TYP,CCSDS_SEC_FLG,CCSDS_APID,CCSDS_SEQ_FLAGS,CCSDS_SEQ_COUNT,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CMD_COUNT,CMD_ERROR_COUNT,TEMP_0,TEMP_1,MAG_0,MAG_1,MAG_2,GYRO_0,GYRO_1,GYRO_2,GYRO_TEMP,
35, 41, 000, 0, 1, 0078, 11, 005355, 000039, 0003675976, 040588, 0002, 0000, 000081, 000087,     434.62,      73.33,    -113.85, -838554.69, 63569051648.00,       2.74,       9.67, 
35, 41, 000, 0, 1, 0078, 11, 005356, 000039, 0003676118, 040507, 0000, 0000, 000082, 000088,    -353.85,     -30.00,    -236.92,     -13.10,      14.69,      -2.75,       9.71, 
35, 41, 000, 0, 1, 0078, 11, 005359, 000039, 0003676020, 040507, 0000, 0000, 000083, 000089,     -62.31,      43.08,    -368.46,     -12.87,      14.73,       2.64,       9.87, 
35, 41, 000, 0, 1, 0078, 11, 005872, 000007, 0003676030, 040526, 0000, 0000, 000000, 000000,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00,       0.00, 
35, 41, 000, 0, 1, 0078, 11, 005361, 000039, 0003676040, 040507, 0000, 0000, 000084, 000090,     315.38,     100.77,     441.54,     -12.94,      14.74,       2.84,       9.96, 
35, 41, 000, 0, 1, 0078, 11, 005363, 000035, 2151159708, 040507, 0000, 0000, 000085, 000091,    -516.92,       8.46,     -43.85,     -12.93,      14.72,       2.71,       0.00, 
35, 41, 000, 0, 1, 0078, 11, 005390, 000039, 0003676330, 040644, 0000, 0008, 000098, 000104,    -517.69,     235.38,     100.03,     -12.88,      14.64,       2.71,      11.36, 
35, 01, 000, 0, 1, 0078, 11, 005392, 000039, 0540547262, 040507, 0000, 0000, 000099, 000105,     315.38,    5858.46,    -160.77,     -13.02,      14.62,       2.87,      11.45, 
35, 41, 000, 0, 1, 0078, 11, 005394, 000039, 0003676370, 040394, 0000, 0000, 000100, 000106,    -190.00,     294.62,     464.62,     -12.91,      10.65,       2.66,      11.56, 
35, 41, 000, 0, 1, 0078, 11, 005395, 000039, 0003676380, 040394, 0000, 0000, 000101, 000106,     383.85,     396.92,      92.31,     -13.17,      14.62,       2.74,      11.61, 
35, 41, 000, 0, 1, 0078, 11, 005398, 000145, 0287682596, 046763, 0124, 0086, -023384, -026278, -37542112267390973306568966144.00,      -0.00, 495836064.00,      -0.00,      -0.00,       0.00, 99625565066319887818674929664.00, 
35, 41, 000, 0, 1, 0078, 11, 005400, 000039, 0003676430, 040690, 0000, 0000, 000103, 000109,    -476.92,     294.62,      73.85,     -12.99,      14.59,       2.83,      11.84, 
35, 41, 000, 0, 1, 0078, 11, 005401, 000039, 0003676504, 040507, 0000, 0000, 000103, 016493,      51.54,     367.69,     436.92,     -12.76,      14.64,       2.79,      11.89, 
35, 41, 000, 0, 1, 0078, 11, 005405, 000039, 0003676480, 040507, 0000, 0000, 000106, 000112,     319.23,     436.92,     106.15,     -12.81,      14.66,       2.76,      12.08, 
