===== MAG =====,,,,,,,,,,,,,
Time (UTC), geodetic latitude (degrees), geodetic longitude (degrees), alt (km above WGS-84 ellipsoid), magnetic declination (degrees), inclination (degrees), total intensity (nT), horizontal (nT), north (nT), east (nT), vertical (nT), magnetic latitude (degrees), magnetic longitude (degrees), magnetic local time (hours)
2/26/2019 0:00,73.71,138.27,511.69,-11.66,82.83,47191.6,5890.5,5768.8,-1191,46822.5,69.45,-154.41,8.5
2/26/2019 0:00,72.8,139.2,511.72,-11.74,82.21,47153.1,6391.3,6257.7,-1300.1,46717.9,68.56,-153.18,8.59
2/26/2019 0:00,71.89,140.02,511.74,-11.74,81.58,47098.9,6898.3,6754,-1403.9,46591,67.67,-152.04,8.67
2/26/2019 0:00,70.98,140.76,511.76,-11.7,80.93,47028.8,7410.4,7256.4,-1502.6,46441.3,66.77,-150.99,8.74
2/26/2019 0:01,70.07,141.44,511.77,-11.62,80.28,46942.4,7926.3,7763.9,-1596.3,46268.4,65.86,-150.03,8.81
2/26/2019 0:01,69.15,142.05,511.78,-11.51,79.61,46839.6,8445,8275.2,-1685.2,46072,64.94,-149.13,8.87
2/26/2019 0:01,68.23,142.6,511.79,-11.38,78.94,46720.2,8965.5,8789.2,-1769.4,45851.9,64.02,-148.31,8.93
2/26/2019 0:01,67.3,143.11,511.79,-11.24,78.25,46584.1,9486.7,9304.8,-1848.7,45608,63.1,-147.55,8.99
2/26/2019 0:02,66.38,143.58,511.79,-11.08,77.55,46431.4,10007.6,9821,-1923.4,45340.1,62.17,-146.84,9.04
2/26/2019 0:02,65.45,144,511.78,-10.91,76.85,46262.1,10527.3,10336.8,-1993.3,45048.4,61.24,-146.18,9.08
2/26/2019 0:02,64.52,144.4,511.77,-10.74,76.13,46076.2,11044.8,10851.3,-2058.5,44732.9,60.3,-145.57,9.13
2/26/2019 0:02,63.59,144.76,511.76,-10.56,75.41,45874.1,11559.4,11363.6,-2118.9,44393.8,59.37,-145,9.17
2/26/2019 0:03,62.66,145.1,511.74,-10.38,74.67,45655.9,12070.3,11872.8,-2174.5,44031.5,58.43,-144.48,9.21
2/26/2019 0:03,61.73,145.41,511.72,-10.19,73.93,45422,12576.5,12378.1,-2225.3,43646.2,57.49,-143.99,9.25
2/26/2019 0:03,60.79,145.7,511.7,-10,73.17,45172.8,13077.4,12878.7,-2271.1,43238.4,56.55,-143.53,9.28
2/26/2019 0:03,59.86,145.97,511.67,-9.81,72.41,44908.6,13572.4,13374,-2311.9,42808.5,55.61,-143.1,9.31
2/26/2019 0:04,58.92,146.23,511.65,-9.61,71.64,44629.8,14060.8,13863.4,-2347.7,42357,54.67,-142.71,9.35
2/26/2019 0:04,57.99,146.46,511.62,-9.41,70.85,44337.1,14542,14346.2,-2378.4,41884.5,53.74,-142.34,9.37
2/26/2019 0:04,57.05,146.68,511.59,-9.21,70.06,44031,15015.5,14821.9,-2403.9,41391.5,52.8,-142,9.4
2/26/2019 0:04,56.11,146.89,511.55,-9.01,69.26,43711.9,15481,15290,-2424.2,40878.7,51.86,-141.68,9.43
2/26/2019 0:05,55.17,147.08,511.52,-8.8,68.44,43380.6,15937.9,15750.1,-2439.2,40346.7,50.93,-141.38,9.45
2/26/2019 0:05,54.23,147.27,511.48,-8.59,67.62,43037.6,16385.9,16201.9,-2448.9,39796.2,50,-141.1,9.47
2/26/2019 0:05,53.29,147.44,511.45,-8.38,66.79,42683.6,16824.8,16645,-2453.1,39227.8,49.07,-140.85,9.49
2/26/2019 0:05,52.35,147.6,511.41,-8.17,65.94,42319.4,17254.2,17079.1,-2452,38642.2,48.14,-140.61,9.51
2/26/2019 0:06,51.41,147.75,511.37,-7.95,65.08,41945.5,17674.1,17504.1,-2445.4,38040.1,47.21,-140.39,9.53
2/26/2019 0:06,50.47,147.89,511.33,-7.73,64.21,41562.7,18084.2,17919.8,-2433.3,37422.2,46.29,-140.18,9.55
2/26/2019 0:06,49.53,148.03,511.3,-7.51,63.32,41171.8,18484.5,18326,-2415.8,36789.1,45.37,-139.99,9.57
2/26/2019 0:06,48.59,148.16,511.26,-7.28,62.42,40773.4,18874.9,18722.7,-2392.8,36141.5,44.46,-139.82,9.58
2/26/2019 0:07,47.64,148.28,511.22,-7.05,61.51,40368.4,19255.4,19109.7,-2364.3,35480,43.55,-139.65,9.6
2/26/2019 0:07,46.7,148.39,511.19,-6.82,60.58,39957.4,19626,19487.1,-2330.5,34805.4,42.64,-139.5,9.61
2/26/2019 0:07,45.76,148.5,511.15,-6.58,59.64,39541.3,19986.6,19854.9,-2291.2,34118.1,41.73,-139.36,9.63
2/26/2019 0:07,44.81,148.6,511.12,-6.34,58.68,39120.8,20337.5,20213.1,-2246.7,33418.8,40.83,-139.24,9.64
2/26/2019 0:08,43.87,148.7,511.09,-6.1,57.7,38696.7,20678.7,20561.7,-2196.9,32708.1,39.94,-139.12,9.65
2/26/2019 0:08,42.92,148.79,511.06,-5.85,56.7,38269.7,21010.3,20900.9,-2141.9,31986.5,39.05,-139.01,9.66
2/26/2019 0:08,41.98,148.88,511.03,-5.6,55.68,37840.8,21332.5,21230.7,-2081.9,31254.6,38.17,-138.91,9.67
2/26/2019 0:08,41.03,148.96,511,-5.35,54.65,37410.7,21645.5,21551.3,-2017,30512.8,37.29,-138.82,9.68
2/26/2019 0:09,40.09,149.04,510.98,-5.09,53.59,36980.1,21949.3,21862.7,-1947.3,29761.7,36.41,-138.74,9.69
2/26/2019 0:09,39.14,149.12,510.96,-4.83,52.51,36549.9,22244.2,22165.2,-1873,29001.6,35.55,-138.66,9.7
2/26/2019 0:09,38.19,149.19,510.94,-4.57,51.41,36121,22530.4,22458.9,-1794.1,28233.1,34.69,-138.59,9.71
2/26/2019 0:09,37.25,149.26,510.93,-4.3,50.28,35694.1,22808.1,22743.9,-1711,27456.5,33.83,-138.52,9.72
2/26/2019 0:10,36.3,149.32,510.92,-4.03,49.13,35270.1,23077.6,23020.4,-1623.7,26672.2,32.98,-138.46,9.73
