TARGET,PACKET,STF1_SCID,STF1_FIFO,CCSDS_PKT_VER,CCSDS_PKT_TYP,CCSDS_SEC_FLG,CCSDS_APID,CCSDS_SEQ_FLAGS,CCSDS_SEQ_COUNT,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,GEIGER_HEADER_EXP_STATUS,GEIGER_HEADER_EXP_NUMBER,GEIGER_HEADER_SYNC_CFE_ELAPSED_SECONDS,GEIGER_HEADER_SYNC_CFE_ELAPSED_SUBSECONDS,GEIGER_HEADER_SYNC_FIRMWARE_TIME,GEIGER_HEADER_COMMAND_TIME,GEIGER_HEADER_PAYLOAD_SIZE,GEIGER_DATA_START_TM,GEIGER_DATA_STOP_TM,GEIGER_DATA_0_COUNTS,GEIGER_DATA_0_OVERFLO,GEIGER_DATA_1_COUNTS,GEIGER_DATA_1_OVERFLO,Unnamed: 26,CCSDS_SECONDS_SUBSECS
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,1.0,43.0,2334402.0,29718.0,0.0,1.0,2334386.0,3244339200.0,985.0,16584.0,18.0,1270.0,16585.0,1452.0,0.0,748.0,0.0,,2334402.0-29718.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,4.0,43.0,2334500.0,56501.0,0.0,1.0,2334485.0,2336116736.0,49765.0,64974.0,18.0,49879.0,64983.0,1510.0,0.0,789.0,0.0,,2334500.0-56501.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,5.0,43.0,2334524.0,40560.0,0.0,1.0,2334509.0,1210171392.0,73504.0,88720.0,18.0,73617.0,88721.0,1346.0,0.0,719.0,0.0,,2334524.0-40560.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,7.0,43.0,2334572.0,53890.0,0.0,1.0,2334557.0,2169290752.0,121730.0,136939.0,18.0,121845.0,136939.0,1306.0,0.0,685.0,0.0,,2334572.0-53890.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,10.0,43.0,2334644.0,57005.0,0.0,1.0,2334629.0,2336600064.0,193775.0,208988.0,18.0,193887.0,208992.0,1304.0,0.0,669.0,0.0,,2334644.0-57005.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,13.0,43.0,2334716.0,37019.0,0.0,1.0,2334700.0,3654889472.0,265092.0,280695.0,18.0,265399.0,280704.0,1289.0,0.0,665.0,0.0,,2334716.0-37019.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,14.0,43.0,2334740.0,54336.0,0.0,1.0,2334725.0,2190286848.0,289752.0,304961.0,18.0,289863.0,304967.0,1246.0,0.0,642.0,0.0,,2334740.0-54336.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,15.0,43.0,2334764.0,44594.0,0.0,1.0,2334749.0,1449250816.0,313584.0,328819.0,18.0,313717.0,328821.0,1214.0,0.0,636.0,0.0,,2334764.0-44594.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,16.0,43.0,2334788.0,52396.0,0.0,1.0,2334773.0,835063808.0,337444.0,352942.0,18.0,337551.0,352946.0,1390.0,0.0,717.0,0.0,,2334788.0-52396.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,17.0,43.0,2334812.0,34398.0,0.0,1.0,2334797.0,881029120.0,361456.0,376667.0,18.0,361565.0,376669.0,1236.0,0.0,638.0,0.0,,2334812.0-34398.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,19.0,43.0,2334860.0,24871.0,0.0,1.0,2334844.0,3291578368.0,409030.0,424531.0,18.0,409143.0,424538.0,1379.0,0.0,725.0,0.0,,2334860.0-24871.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,20.0,43.0,2334884.0,30483.0,0.0,1.0,2334868.0,3798118400.0,433149.0,448373.0,18.0,433257.0,448381.0,1336.0,0.0,738.0,0.0,,2334884.0-30483.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,21.0,43.0,2334908.0,28331.0,0.0,1.0,2334893.0,489250816.0,457379.0,472589.0,18.0,457491.0,472596.0,1352.0,0.0,701.0,0.0,,2334908.0-28331.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,22.0,43.0,2334932.0,28053.0,0.0,1.0,2334916.0,3629584384.0,481111.0,496583.0,18.0,481225.0,496589.0,1391.0,0.0,719.0,0.0,,2334932.0-28053.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,23.0,43.0,2334956.0,9807.0,0.0,1.0,2334940.0,3568766976.0,505097.0,520306.0,18.0,505209.0,520313.0,1231.0,0.0,645.0,0.0,,2334956.0-9807.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,24.0,43.0,2334980.0,12992.0,0.0,1.0,2334964.0,3708649472.0,529135.0,544353.0,18.0,529243.0,544357.0,1356.0,0.0,738.0,0.0,,2334980.0-12992.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,27.0,43.0,2335052.0,20347.0,0.0,1.0,2335036.0,4197687296.0,601257.0,616479.0,18.0,601365.0,616479.0,1266.0,0.0,675.0,0.0,,2335052.0-20347.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,30.0,43.0,2335124.0,58845.0,0.0,1.0,2335109.0,2457243648.0,673855.0,689063.0,18.0,673968.0,689073.0,1321.0,0.0,718.0,0.0,,2335124.0-58845.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,32.0,43.0,2335172.0,39954.0,0.0,1.0,2335157.0,1254617088.0,721576.0,736788.0,18.0,721686.0,736790.0,1279.0,0.0,654.0,0.0,,2335172.0-39954.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,33.0,43.0,2335196.0,22933.0,0.0,1.0,2335181.0,137674752.0,745321.0,760531.0,18.0,745430.0,760534.0,1178.0,0.0,603.0,0.0,,2335196.0-22933.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,34.0,43.0,2335220.0,64244.0,0.0,1.0,2335205.0,2850877440.0,769953.0,785164.0,18.0,770064.0,785168.0,1343.0,0.0,708.0,0.0,,2335220.0-64244.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,36.0,43.0,2335268.0,30769.0,0.0,1.0,2335253.0,648634368.0,817443.0,832654.0,18.0,817552.0,832656.0,1354.0,0.0,690.0,0.0,,2335268.0-30769.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,40.0,43.0,2335364.0,11206.0,0.0,1.0,2335348.0,3638538240.0,913148.0,928358.0,18.0,913257.0,928361.0,1994.0,0.0,1068.0,0.0,,2335364.0-11206.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,41.0,43.0,2335388.0,22223.0,0.0,1.0,2335372.0,2513412096.0,936885.0,952531.0,18.0,937221.0,952536.0,1474.0,0.0,763.0,0.0,,2335388.0-22223.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,42.0,43.0,2335412.0,10636.0,0.0,1.0,2335396.0,3625779200.0,961150.0,976357.0,18.0,961255.0,976360.0,1497.0,0.0,759.0,0.0,,2335412.0-10636.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,43.0,43.0,2335435.0,58472.0,0.0,1.0,2335420.0,2461921280.0,984877.0,1000089.0,18.0,984989.0,1000093.0,1303.0,0.0,944.0,0.0,,2335435.0-58472.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,44.0,43.0,2335460.0,16926.0,0.0,1.0,2335444.0,1599709184.0,1008680.0,1024462.0,18.0,1009093.0,1024467.0,1222.0,0.0,619.0,0.0,,2335460.0-16926.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,47.0,43.0,2335532.0,28265.0,0.0,1.0,2335516.0,1865256960.0,1081034.0,1096647.0,18.0,1081355.0,1096649.0,972.0,0.0,500.0,0.0,,2335532.0-28265.0
STF1_TLM,SPW_GEIGER_TLM_T,53.0,16.0,0.0,0.0,1.0,65.0,3.0,49.0,43.0,2335580.0,31985.0,0.0,1.0,2335565.0,654831616.0,1129488.0,1144710.0,18.0,1129604.0,1144718.0,677.0,0.0,344.0,0.0,,2335580.0-31985.0
